climate,policy,metric,country,delta_median,delta_lo,delta_hi,cost_median,per_dollar_median,per_dollar_lo,per_dollar_hi,share_finite
ssp585,safety_net,switch_share,Mali,0.18481076508760452,0.17990165948867798,0.18961958587169647,8.808526039123535,0.02098089558534058,0.020423582639097076,0.0215268235604335,1.0
ssp585,safety_net,switch_share,Nigeria,0.2034219652414322,0.19979973137378693,0.20660226047039032,8.409066200256348,0.0241907912718336,0.02376003787051838,0.024568989653582715,1.0
ssp585,safety_net,switch_share,Tanzania,0.12744072079658508,0.12289676815271378,0.1311974823474884,1.578903317451477,0.08071470835990666,0.0778367913946008,0.0830940570568029,1.0
ssp585,safety_net,switch_share,Uganda,0.0943644791841507,0.09320852160453796,0.09592999517917633,3.647430658340454,0.025871493668665282,0.025554569869999103,0.026300704294354854,1.0
ssp585,safety_net,cv_log,Ethiopia,1.5219396501779556,1.424937754869461,1.584440678358078,1.9400118589401245,0.7845001787821174,0.7344995074658662,0.8167170066804109,1.0
ssp585,safety_net,cv_log,Mali,1.5272802114486694,1.444002389907837,1.6265477538108826,8.808526039123535,0.17338658075882088,0.16393235184799634,0.18465606465672968,1.0
ssp585,safety_net,cv_log,Nigeria,1.0235147327184677,0.9856555759906769,1.0563429147005081,8.409066200256348,0.12171562315531137,0.11721343993707999,0.12561952653771544,1.0
ssp585,safety_net,cv_log,Tanzania,11.388895034790039,1.6786702871322632,42.4372444152832,1.578903317451477,7.213168095164284,1.0631875103295247,26.877671321751077,1.0
ssp585,safety_net,cv_log,Uganda,1.7380856424570084,1.6391068696975708,1.796957790851593,3.647430658340454,0.47652328591431553,0.4493867116978582,0.49266400356167195,1.0
ssp585,safety_net,cv_pct,Ethiopia,3.5811075413676905,3.157599044406375,3.876563048325673,1.9400118589401245,1.8459204385091421,1.6276184240087315,1.998216160618489,1.0
ssp585,safety_net,cv_pct,Mali,3.6056338028050527,3.2376225384121,4.0862852655202575,8.808526039123535,0.409334522801027,0.36755553926185014,0.4639011393473556,1.0
ssp585,safety_net,cv_pct,Nigeria,1.7829590070922523,1.6795679691606278,1.8758345624032096,8.409066200256348,0.21202818061271766,0.19973299402844832,0.2230728736974416,1.0
ssp585,safety_net,cv_pct,Tanzania,88334.2959884016,4.358426063719975,2.693153310285304e+18,1.578903317451477,55946.614977656034,2.760413519654232,1.7057113507319424e+18,1.0
ssp585,safety_net,cv_pct,Uganda,4.686447254848586,4.150567329609448,5.031271138038972,3.647430658340454,1.2848626043465003,1.137942765304801,1.3794014497668756,1.0
ssp585,safety_net,ce_rho2.5,Ethiopia,4.132013320922852,4.1169281005859375,4.146068572998047,1.9400118589401245,2.1298907539566643,2.1221149147176424,2.1371356849659384,1.0
ssp585,safety_net,ce_rho2.5,Malawi,3.9320616722106934,3.922962188720703,3.939408302307129,1.392106294631958,2.824541263388399,2.818004777255782,2.829818611910394,1.0
ssp585,safety_net,ce_rho2.5,Mali,19.48587417602539,19.31549072265625,19.7303466796875,8.808526039123535,2.2121605918490617,2.1928175766144613,2.239914668135636,1.0
ssp585,safety_net,ce_rho2.5,Nigeria,21.127769470214844,21.074668884277344,21.18144989013672,8.409066200256348,2.512498887161903,2.506184204333519,2.51888252342347,1.0
ssp585,safety_net,ce_rho2.5,Tanzania,5.964328765869141,5.948882102966309,5.9803314208984375,1.578903317451477,3.7775136070372066,3.767730447592229,3.7876489046532296,1.0
ssp585,safety_net,ce_rho2.5,Uganda,5.970793724060059,5.962162971496582,5.980512619018555,3.647430658340454,1.6369862194382914,1.634619964018537,1.639650806066216,1.0
ssp585,insurance,exp_income,Ethiopia,-3.1761550903320312,-3.2315597534179688,-3.0993080139160156,0.27160167694091797,-11.694165979037553,-11.898158324408785,-11.41122561842729,1.0
ssp585,insurance,exp_income,Malawi,-1.620676040649414,-1.7400321960449219,-1.5293388366699219,0.19489488005638123,-8.315641951089571,-8.928054936802583,-7.846993395760314,1.0
ssp585,insurance,exp_income,Mali,-6.0003509521484375,-6.3216552734375,-5.6253662109375,1.2331937551498413,-4.865700079238039,-5.126246582938118,-4.561623984427314,1.0
ssp585,insurance,exp_income,Nigeria,-10.082496643066406,-10.2679443359375,-9.790435791015625,1.1772692203521729,-8.564308374638632,-8.721831980679752,-8.316225058603738,1.0
ssp585,insurance,exp_income,Tanzania,-2.045482635498047,-2.1851882934570312,-1.9208984375,0.22104644775390625,-9.253632692506816,-9.885652158906568,-8.690021744382701,1.0
ssp585,insurance,exp_income,Uganda,-1.0147666931152344,-1.02423095703125,-1.0062828063964844,0.5106402635574341,-1.9872437908553187,-2.0057779030110696,-1.97062957665363,1.0
ssp585,insurance,p_below_theta,Ethiopia,-0.10813627392053604,-0.1086903065443039,-0.1076032966375351,0.27160167694091797,-0.3981428801857476,-0.40018275206727644,-0.39618053117154445,1.0
ssp585,insurance,p_below_theta,Malawi,-0.17322317883372307,-0.17364999651908875,-0.17289773747324944,0.19489488005638123,-0.8888031270170424,-0.8909931162319578,-0.8871332967968772,1.0
ssp585,insurance,p_below_theta,Mali,-0.2484306152909994,-0.24950051307678223,-0.24754717387259007,1.2331937551498413,-0.20145302735563514,-0.20232061023246606,-0.20073664242851394,1.0
