climate,policy,country,crop,delta_share_median,delta_lo,delta_hi,base_share_median
ssp245,both,Uganda,sorghum_millet,0.024770835414528847,0.023569505661725998,0.025549056008458138,0.04888562299311161
ssp245,both,Uganda,teff,0.0,0.0,0.0,0.0
ssp245,both,Uganda,other,-0.011646289844065905,-0.011962488759309053,-0.011228534393012524,0.052016420755535364
ssp245,both,Uganda,rice,-0.0011938032694160938,-0.0013092304579913616,-0.0010905005037784576,0.008711627568118274
ssp245,both,Uganda,wheat_barley,0.0,0.0,0.0,0.0
ssp245,contraction,Ethiopia,maize,0.027692275121808052,0.027110740542411804,0.02818288654088974,0.1280706413090229
ssp245,contraction,Ethiopia,tree_crops,-0.10745382029563189,-0.10889731161296368,-0.10595984943211079,0.333287063986063
ssp245,contraction,Ethiopia,tubers,-0.013491764664649963,-0.013861876912415028,-0.013104605721309781,0.06516734918113798
ssp245,contraction,Ethiopia,legumes,0.01667705364525318,0.01627388596534729,0.01708901859819889,0.08825611649081111
ssp245,contraction,Ethiopia,sorghum_millet,0.03209323063492775,0.031353648751974106,0.03280187025666237,0.1144692674279213
ssp245,contraction,Ethiopia,teff,0.021086951717734337,0.020655006170272827,0.02170710824429989,0.07900177966803312
ssp245,contraction,Ethiopia,other,0.00024398392997682095,2.366490662097931e-06,0.0004748934879899025,0.09550956659950316
ssp245,contraction,Ethiopia,rice,3.371143247932196e-05,2.0298641175031662e-05,4.462851211428642e-05,0.0023708831577096134
ssp245,contraction,Ethiopia,wheat_barley,0.023033468052744865,0.022371094673871994,0.0235251784324646,0.09380923304706812
ssp245,contraction,Malawi,maize,-0.032764315605163574,-0.03530189394950867,-0.030809342861175537,0.6459575667977333
ssp245,contraction,Malawi,tree_crops,0.004891503602266312,0.004178382456302643,0.005532205104827881,0.07890075817704201
ssp245,contraction,Malawi,tubers,0.0004776514251716435,0.000356255448423326,0.0006060230080038309,0.019391698064282537
ssp245,contraction,Malawi,legumes,0.03832170553505421,0.035398175939917564,0.04114537313580513,0.17109413258731365
ssp245,contraction,Malawi,sorghum_millet,0.003823893377557397,0.003402526956051588,0.0043047270737588406,0.015398052288219333
ssp245,contraction,Malawi,teff,0.0,0.0,0.0,0.0
ssp245,contraction,Malawi,other,-0.014526634942740202,-0.015585550107061863,-0.013429636135697365,0.06759434193372726
ssp245,contraction,Malawi,rice,-0.00024067802587524056,-0.00031306291930377483,-0.00016106979455798864,0.0016708573675714433
ssp245,contraction,Malawi,wheat_barley,0.0,0.0,0.0,0.0
ssp245,contraction,Mali,maize,0.003877045586705208,0.0033151954412460327,0.004358403384685516,0.15205582976341248
ssp245,contraction,Mali,tree_crops,0.011198889464139938,0.010733222588896751,0.011806859634816647,0.18448114464990795
ssp245,contraction,Mali,tubers,-0.0008372098382096738,-0.0010279962443746626,-0.0006939933518879116,0.006133521150331944
ssp245,contraction,Mali,legumes,-0.007136846543289721,-0.008021191693842411,-0.006294777616858482,0.050885338918305933
ssp245,contraction,Mali,sorghum_millet,0.02902045100927353,0.02730564773082733,0.030379176139831543,0.4340849369764328
ssp245,contraction,Mali,teff,0.0,0.0,0.0,0.0
ssp245,contraction,Mali,other,-0.014051039703190327,-0.014891005121171474,-0.012865516357123852,0.05913722142577171
ssp245,contraction,Mali,rice,-0.02200733870267868,-0.022937027737498283,-0.021236810833215714,0.11286686919629574
ssp245,contraction,Mali,wheat_barley,0.0,0.0,0.0,0.0
ssp245,contraction,Nigeria,maize,0.02357444353401661,0.022760920226573944,0.02428959310054779,0.16255632415413857
ssp245,contraction,Nigeria,tree_crops,-0.010408681468106806,-0.010869274148717523,-0.009834283730015159,0.04676481056958437
ssp245,contraction,Nigeria,tubers,-0.06885137967765331,-0.0710553489625454,-0.06682442501187325,0.3071940317749977
ssp245,contraction,Nigeria,legumes,0.0184707660228014,0.01763230934739113,0.01911473087966442,0.13231385126709938
